area,name
11804564,Bang Phlat
16319268,Huai Khwang
17075578,Wang Thong Lang
51732144,Thawi Watthana
128628048,Lat Krabang
8465891,Din Daeng
35767720,Taling Chan
11329900,Dusit
28068656,Saphan Sung
9214668,Phaya Thai
12323945,Bangkok Noi
7167652,Ratchathewi
5361067,Phra Nakhon
2504113,Pom Prap Sattru Phai
8032768,Parthum Wan
47890656,Bang Khae
24113560,Suanluang
12996544,Vadhana
6298272,Bangkok Yai
19182494,Phasi Charoen
1392972.75,Samphanthawong
13240401,Khlong Toei
8461864,Thon buri
5965976,Khlong San
53728764,Pra Wet
4012576,Bang Rak
36201384,Nong Khaem
7259143,Sathon
12504782,Yan na wa
23167158,Chom Thong
8312167,Bang Kho laen
13578695,Phra Khanong
12333130,Rat Burana
35857236,Bang Bon
18947526,Bang Na
122207808,Bang Khun thain
36691444,Don Mueang
240448192,Nong Chok
43612880,Sai Mai
120176920,Khlong Sam Wa
22669208,Lak Si
40959096,Bang Khen
32656716,Chatu Chak
25380514,Khan Na Yao
61120416,Min Buri
21266434,Lat Phrao
12885789,Bang Sue
23404956,Bueng Kum
27587404,Bang Kapi
32950616,Thung khru
